;full
100;[[8.0, 1.0], [5.0, 7.0, 1.0, 3.0, 2.0, 4.0, 9.0, 6.0]]
101;[[8.0, 3.0, 9.0, 6.0, 5.0, 1.0, 2.0], [7.0, 1.0, 4.0]]
102;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0, 9.0]]
103;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0, 2.0]]
104;[[1.0, 3.0, 2.0], [8.0, 5.0, 7.0, 1.0, 4.0, 9.0, 6.0]]
105;[[8.0, 1.0, 5.0, 7.0], [3.0, 2.0, 1.0, 4.0, 9.0, 6.0]]
106;[[8.0, 1.0, 5.0, 7.0], [3.0, 4.0, 9.0, 1.0, 2.0, 6.0]]
107;[[1.0, 9.0], [8.0, 5.0, 7.0, 1.0, 3.0, 2.0, 4.0, 6.0]]
108;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0, 9.0]]
109;[[8.0, 1.0, 5.0, 7.0, 6.0, 9.0, 3.0], [1.0, 2.0, 4.0]]
110;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 4.0, 8.0, 1.0, 2.0]]
111;[[9.0, 3.0, 1.0, 7.0, 4.0, 5.0, 6.0, 8.0, 2.0]]
112;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 2.0]]
113;[[8.0, 1.0, 3.0, 4.0, 9.0, 1.0, 5.0, 7.0, 6.0, 2.0]]
114;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 1.0, 8.0, 6.0, 7.0]]
115;[[1.0, 3.0, 2.0, 4.0, 9.0, 5.0, 7.0, 6.0], [1.0, 8.0]]
116;[[9.0, 3.0, 1.0, 5.0, 7.0, 2.0], [8.0, 1.0, 6.0, 4.0]]
117;[[9.0, 3.0, 1.0, 5.0, 7.0, 4.0, 8.0, 1.0, 2.0, 6.0]]
118;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 2.0], [8.0, 1.0, 4.0]]
119;[[1.0, 3.0, 4.0, 9.0], [8.0, 5.0, 7.0, 6.0, 1.0, 2.0]]
120;[[3.0, 9.0, 1.0, 5.0, 6.0, 2.0], [8.0, 1.0, 7.0, 4.0]]
121;[[8.0, 1.0, 3.0, 2.0], [5.0, 7.0, 1.0, 4.0, 9.0, 6.0]]
122;[[8.0, 1.0, 5.0, 7.0], [3.0, 2.0, 1.0, 4.0, 9.0, 6.0]]
123;[[8.0, 1.0, 5.0, 7.0, 1.0, 3.0, 2.0, 4.0, 9.0, 6.0]]
124;[[1.0, 3.0, 2.0, 4.0, 9.0], [8.0, 1.0, 5.0, 7.0, 6.0]]
125;[[1.0, 3.0, 2.0, 4.0, 9.0], [8.0, 1.0, 5.0, 7.0, 6.0]]
126;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 8.0]]
127;[[8.0, 1.0, 5.0, 7.0, 9.0, 3.0], [1.0, 2.0, 4.0, 6.0]]
128;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 4.0], [8.0, 1.0, 2.0]]
129;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0, 9.0]]
130;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0, 2.0]]
131;[[8.0, 1.0, 3.0, 2.0], [5.0, 7.0, 1.0, 4.0, 9.0, 6.0]]
132;[[8.0, 1.0, 5.0, 7.0], [3.0, 2.0, 1.0, 4.0, 9.0, 6.0]]
133;[[8.0, 1.0, 5.0, 7.0, 1.0, 3.0, 2.0, 4.0, 9.0, 6.0]]
134;[[1.0, 3.0, 2.0, 4.0, 9.0], [8.0, 1.0, 5.0, 7.0, 6.0]]
135;[[1.0, 3.0, 4.0, 9.0], [8.0, 5.0, 7.0, 6.0, 1.0, 2.0]]
136;[[3.0, 9.0, 1.0, 5.0, 7.0, 6.0, 2.0], [8.0, 1.0, 4.0]]
137;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 1.0, 8.0, 6.0]]
138;[[1.0, 5.0, 7.0], [3.0, 2.0, 4.0, 9.0, 1.0, 8.0, 6.0]]
139;[[1.0, 5.0, 7.0], [8.0, 1.0, 3.0, 2.0, 4.0, 9.0, 6.0]]
140;[[8.0, 1.0, 3.0, 4.0], [5.0, 7.0, 1.0, 2.0, 9.0, 6.0]]
141;[[9.0, 3.0, 1.0, 2.0], [8.0, 1.0, 5.0, 7.0, 6.0, 4.0]]
142;[[1.0, 5.0, 7.0, 6.0], [8.0, 1.0, 9.0, 3.0, 2.0, 4.0]]
143;[[1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 8.0, 4.0, 9.0]]
144;[[8.0, 1.0, 3.0, 2.0], [5.0, 7.0, 1.0, 4.0, 9.0, 6.0]]
145;[[8.0, 1.0, 5.0, 7.0], [3.0, 2.0, 1.0, 4.0, 9.0, 6.0]]
146;[[8.0, 1.0, 5.0, 7.0], [3.0, 4.0, 9.0, 1.0, 2.0, 6.0]]
147;[[8.0, 1.0, 9.0], [5.0, 7.0, 1.0, 3.0, 2.0, 4.0, 6.0]]
148;[[9.0, 3.0, 1.0, 7.0, 2.0, 5.0, 6.0, 8.0, 4.0]]
149;[[1.0, 3.0, 4.0, 9.0], [8.0, 1.0, 5.0, 7.0, 6.0, 2.0]]
150;[[3.0, 9.0, 1.0, 5.0, 6.0, 2.0], [8.0, 1.0, 7.0, 4.0]]
151;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0, 9.0]]
152;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0, 2.0]]
153;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 4.0, 8.0, 1.0, 2.0]]
154;[[9.0, 3.0, 1.0, 8.0, 2.0, 5.0, 7.0, 6.0, 4.0]]
155;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 1.0, 2.0, 6.0]]
156;[[1.0, 5.0, 7.0], [8.0, 1.0, 9.0, 6.0, 3.0, 2.0, 4.0]]
157;[[1.0, 5.0, 7.0], [3.0, 2.0, 1.0, 8.0, 4.0, 9.0, 6.0]]
158;[[1.0, 3.0, 2.0, 4.0], [5.0, 7.0, 1.0, 8.0, 9.0, 6.0]]
159;[[8.0, 1.0, 3.0, 2.0], [5.0, 7.0, 1.0, 4.0, 9.0, 6.0]]
160;[[8.0, 1.0, 5.0, 7.0], [3.0, 2.0, 1.0, 4.0, 9.0, 6.0]]
161;[[8.0, 1.0, 5.0, 7.0], [3.0, 4.0, 9.0, 1.0, 2.0, 6.0]]
162;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 1.0, 2.0, 6.0]]
163;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0, 9.0]]
164;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0, 2.0]]
165;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 2.0]]
166;[[8.0, 1.0, 3.0, 4.0, 9.0], [2.0, 1.0, 5.0, 7.0, 6.0]]
167;[[9.0, 3.0, 1.0, 2.0], [8.0, 1.0, 5.0, 7.0, 6.0, 4.0]]
168;[[1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 2.0, 1.0, 8.0]]
169;[[1.0, 3.0, 4.0, 9.0], [8.0, 1.0, 5.0, 7.0, 6.0, 2.0]]
170;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 2.0]]
171;[[8.0, 1.0, 3.0, 4.0, 9.0], [2.0, 1.0, 5.0, 7.0, 6.0]]
172;[[1.0, 3.0, 4.0, 9.0], [8.0, 5.0, 7.0, 6.0, 1.0, 2.0]]
173;[[1.0, 3.0, 4.0, 9.0], [8.0, 1.0, 5.0, 2.0, 7.0, 6.0]]
174;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 1.0, 6.0, 2.0]]
175;[[8.0, 3.0, 9.0, 1.0, 5.0, 6.0, 2.0], [7.0, 1.0, 4.0]]
176;[[3.0, 1.0, 5.0, 6.0, 8.0, 2.0], [7.0, 1.0], [9.0, 4.0, 1.0]]
177;[[3.0, 1.0, 5.0, 6.0, 8.0, 2.0], [9.0, 4.0, 1.0], [7.0, 1.0]]
178;[[1.0, 3.0, 2.0, 4.0], [5.0, 7.0, 1.0, 6.0, 8.0], [9.0, 1.0]]
179;[[3.0, 1.0, 5.0, 7.0, 2.0], [9.0, 4.0, 1.0, 6.0, 8.0]]
180;[[1.0, 3.0, 2.0, 4.0], [9.0, 1.0, 5.0, 6.0, 8.0], [7.0, 1.0]]
181;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 1.0, 6.0, 8.0]]
182;[[1.0, 3.0, 4.0, 9.0], [8.0, 1.0, 2.0, 5.0, 7.0, 6.0]]
183;[[1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 8.0, 2.0]]
184;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 1.0, 8.0, 6.0]]
185;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 2.0]]
186;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 1.0, 2.0, 7.0, 6.0]]
187;[[3.0, 9.0, 1.0, 5.0, 6.0, 8.0, 2.0], [7.0, 1.0, 4.0]]
188;[[1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 1.0, 6.0, 8.0, 2.0]]
189;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 2.0]]
190;[[8.0, 1.0, 3.0, 4.0, 9.0, 1.0, 5.0, 7.0, 6.0, 2.0]]
191;[[1.0, 3.0, 4.0, 9.0], [8.0, 5.0, 7.0, 6.0, 1.0, 2.0]]
192;[[3.0, 9.0, 1.0, 5.0, 7.0, 2.0], [8.0, 1.0, 6.0, 4.0]]
